neighbourhood_name,height_range_id,diameter
ARBUTUS-RIDGE,2.7198684465080287,2.7874564459930316
DOWNTOWN,2.43632486916069,1.8972669121922854
DUNBAR-SOUTHLANDS,3.026340945300053,3.187160651549026
FAIRVIEW,2.8008495752123936,2.5292353823088454
GRANDVIEW-WOODLAND,2.6013725197672684,2.6863711001642034
HASTINGS-SUNRISE,2.455390158338864,2.6116274658573597
KENSINGTON-CEDAR COTTAGE,2.6005252671617463,2.7445863912295008
KERRISDALE,2.8102652825836216,2.934958177098356
KILLARNEY,2.500487963565387,2.4236405079778574
KITSILANO,3.2591497227356747,3.296200345423143
MARPOLE,2.359042971824335,2.7005827689399906
MOUNT PLEASANT,2.6457406230133502,2.6285759694850603
OAKRIDGE,2.135738115095913,2.4214375261178436
RENFREW-COLLINGWOOD,2.233181099595995,2.3401862590054474
RILEY PARK,2.567248908296943,2.773038287960402
SHAUGHNESSY,3.2425452989014123,3.25581727337616
SOUTH CAMBIE,2.584504935686509,2.736165121148669
STRATHCONA,2.423274596182085,2.251468428781204
SUNSET,2.32341340982431,2.5707112970711297
VICTORIA-FRASERVIEW,2.3135190653485687,2.4550713459313536
WEST END,2.8788138009694895,2.848588537211292
WEST POINT GREY,3.0340149827900387,3.0498480243161095
